school;sex;age;address;famsize;Pstatus;Medu;Fedu;Mjob;Fjob;reason;guardian;traveltime;studytime;failures;schoolsup;famsup;paid;activities;nursery;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;health;absences;G
GP;F;16;U;GT3;T;2;2;services;services;home;mother;1;1;0;no;yes;no;no;no;yes;yes;no;1;2;2;1;3;5;6;-
GP;M;15;U;GT3;T;2;2;other;other;home;mother;1;1;0;no;yes;no;no;yes;yes;yes;no;4;2;2;1;2;5;8;-
GP;M;15;U;GT3;T;4;2;health;services;other;mother;1;1;0;no;no;no;no;yes;yes;yes;no;2;2;4;2;4;1;0;-
GP;F;15;R;GT3;T;3;4;services;health;course;mother;1;3;0;yes;yes;no;yes;yes;yes;yes;no;4;3;2;1;1;5;2;-
GP;F;15;R;GT3;T;2;2;at_home;other;reputation;mother;1;1;0;yes;yes;no;yes;yes;yes;no;no;4;3;1;1;1;2;8;-
GP;F;16;U;LE3;T;2;2;other;other;home;mother;2;2;0;no;yes;no;yes;no;yes;yes;yes;3;3;3;1;2;3;16;-
GP;M;15;U;LE3;T;4;4;teacher;other;home;other;1;1;0;no;yes;no;no;no;yes;yes;yes;5;4;3;2;4;5;8;-
GP;F;18;U;GT3;A;4;4;at_home;teacher;course;mother;2;2;0;yes;no;no;no;yes;yes;no;no;4;3;4;1;1;3;4;-
GP;F;17;U;GT3;T;1;1;at_home;other;course;father;1;2;0;no;yes;no;no;no;yes;yes;no;5;3;3;1;1;3;2;-
GP;F;15;U;LE3;T;1;1;at_home;other;other;mother;1;2;0;yes;no;no;no;yes;yes;yes;no;4;3;2;2;3;3;6;-
GP;F;17;U;GT3;T;3;3;services;other;home;mother;2;3;0;no;yes;no;no;yes;yes;yes;yes;4;2;2;2;3;5;10;-
GP;F;17;U;GT3;T;1;1;at_home;other;course;mother;1;2;0;yes;no;no;no;no;yes;no;yes;4;3;2;1;1;4;10;-
GP;F;18;U;GT3;T;2;1;other;other;course;other;2;3;0;no;yes;no;no;no;yes;yes;yes;4;4;4;1;1;3;10;-
